GEO,AAR,ALDER,ANTALL,KJONN
1103,2021,20,297,1
1103,2021,21,459,1
1103,2021,22,563,2
1103,2021,23,656,2
1103,2021,24,689,2
1103,2021,25,763,1
1103,2021,26,807,2
1103,2021,27,755,2
1103,2021,28,784,1
1103,2021,29,756,1
1103,2021,30,705,2
1103,2021,32,609,1
1103,2021,33,576,1
1103,2021,34,542,2
1103,2021,36,456,1
1103,2021,37,444,2
1103,2021,38,422,2
1103,2021,39,386,1
1103,2021,40,415,2
1103,2021,41,373,1
1103,2021,42,372,2
1103,2021,43,367,2
1103,2021,44,356,2
1103,2021,45,349,1
1103,2021,47,372,2
1103,2021,49,339,1
1103,2021,50,354,2
1103,2021,52,355,1
1103,2021,53,370,1
1103,2021,54,392,2
1103,2021,55,358,1
1103,2021,56,383,1
1103,2021,58,358,2
1103,2021,59,379,1
1103,2021,60,375,2
1103,2021,61,378,1
1103,2021,65,369,1
1103,2021,67,320,1
1103,2021,68,348,2
1103,2021,69,284,2
1103,2021,70,303,1
1103,2021,76,286,1
1103,2021,77,263,2
1103,2021,90,149,1
1103,2021,92,80,1
1103,2021,35,484,2
1103,2021,46,345,1
1103,2021,48,364,1
1103,2021,51,388,1
1103,2021,57,388,1
1103,2021,63,371,2
1103,2021,64,364,1
1103,2021,66,349,1
1103,2021,72,279,2
1103,2021,73,290,2
1103,2021,75,280,1
1103,2021,79,229,1
1103,2021,82,215,1
1103,2021,83,194,2
1103,2021,89,147,2
1103,2021,95,58,1
1103,2021,31,629,2
1103,2021,71,303,1
1103,2021,84,186,1
1103,2021,91,133,1
1103,2021,93,81,2
1103,2021,96,34,2
1103,2021,17,20,1
1103,2021,62,391,2
1103,2021,74,276,1
1103,2021,78,222,2
1103,2021,80,217,1
1103,2021,81,183,2
1103,2021,88,160,1
1103,2021,94,81,2
1103,2021,19,180,1
1103,2021,85,156,2
1103,2021,86,172,1
1103,2021,18,59,1
1103,2021,87,147,2
1103,2021,97,24,2
1103,2021,100,8,1
1103,2021,99,13,1
1103,2021,16,9,1
1103,2021,98,16,1
1103,2021,101,9,1
1514,2021,39,7,2
1514,2021,43,9,2
1514,2021,44,6,1
1514,2021,46,15,1
1514,2021,51,8,2
1514,2021,57,9,2
1514,2021,66,6,2
1514,2021,68,9,2
1514,2021,73,7,1
1514,2021,76,6,1
1514,2021,77,8,1
1514,2021,80,7,1
1514,2021,84,6,2
1514,2021,85,6,2
1514,2021,87,8,2
1514,2021,47,11,2
1514,2021,53,9,2
1514,2021,54,7,2
1514,2021,65,6,2
1514,2021,70,11,1
1514,2021,32,6,2
1514,2021,37,6,1
1514,2021,48,11,2
1514,2021,49,10,1
1514,2021,52,6,2
1514,2021,55,8,2
1514,2021,59,12,2
1514,2021,71,7,2
1514,2021,74,11,1
1514,2021,78,6,2
1514,2021,79,6,2
1514,2021,83,6,2
1514,2021,86,8,2
1514,2021,36,6,2
1514,2021,40,8,1
1514,2021,50,10,1
1514,2021,75,8,1
1514,2021,42,6,1
1514,2021,56,7,1
1563,2021,46,14,1
1563,2021,53,22,1
1563,2021,57,27,1
1563,2021,59,28,2
1563,2021,63,26,2
1563,2021,64,31,1
1563,2021,65,24,2
1563,2021,66,25,1
1563,2021,67,30,1
1563,2021,68,20,2
1563,2021,69,22,2
1563,2021,70,17,1
1563,2021,72,28,2
1563,2021,74,20,1
1563,2021,77,18,1
1563,2021,78,19,2
1563,2021,80,17,2
1563,2021,89,13,2
1563,2021,93,14,1
1563,2021,26,22,1
1563,2021,45,8,2
1563,2021,52,21,1
1563,2021,62,19,1
1563,2021,34,19,2
1563,2021,38,13,2
1563,2021,41,13,2
1563,2021,48,13,2
1563,2021,61,38,1
1563,2021,73,16,2
1563,2021,76,27,2
1563,2021,82,14,2
1563,2021,23,21,1
1563,2021,30,24,1
1563,2021,33,10,2
1563,2021,36,13,1
1563,2021,42,10,2
1563,2021,43,17,1
1563,2021,44,13,2
1563,2021,47,15,2
1563,2021,49,17,1
1563,2021,50,19,2
1563,2021,51,22,2
1563,2021,54,24,2
1563,2021,55,24,2
1563,2021,75,18,2
1563,2021,79,18,1
1563,2021,84,14,2
1563,2021,85,16,1
1563,2021,86,19,2
1563,2021,94,7,1
1563,2021,20,12,2
1563,2021,31,15,1
1563,2021,60,21,1
1563,2021,90,15,2
1563,2021,22,12,2
1563,2021,24,28,2
1563,2021,25,16,1
1563,2021,29,14,2
1563,2021,56,21,1
1563,2021,58,26,1
1563,2021,87,14,1
1563,2021,88,17,1
1563,2021,40,9,2
1563,2021,35,11,1
1563,2021,81,22,2
1563,2021,83,16,1
1563,2021,95,6,2
1563,2021,21,13,1
1563,2021,27,25,1
1563,2021,32,10,1
1563,2021,37,10,1
1563,2021,71,23,1
1563,2021,28,11,1
1563,2021,39,15,1
1566,2021,18,7,1
1566,2021,23,9,2
1566,2021,24,16,1
1566,2021,25,11,1
1566,2021,32,14,2
1566,2021,51,14,1
1566,2021,53,13,1
1566,2021,54,13,2
1566,2021,55,19,1
1566,2021,61,13,1
1566,2021,63,16,1
1566,2021,64,19,2
1566,2021,66,18,1
1566,2021,67,23,2
1566,2021,73,24,2
1566,2021,75,23,1
1566,2021,77,20,2
1566,2021,79,18,1
1566,2021,83,14,1
1566,2021,86,14,1
1566,2021,87,10,2
1566,2021,88,14,1
1566,2021,90,9,2
1566,2021,27,14,1
1566,2021,29,19,2
1566,2021,30,13,2
1566,2021,50,11,1
1566,2021,62,16,2
1566,2021,65,10,2
1566,2021,71,20,1
1566,2021,72,13,1
1566,2021,80,12,1
1566,2021,81,18,2
1566,2021,37,9,1
1566,2021,42,12,1
1566,2021,45,11,1
1566,2021,52,16,2
1566,2021,58,22,2
1566,2021,68,19,2
1566,2021,70,15,1
1566,2021,85,10,1
1566,2021,26,23,2
1566,2021,33,16,1
1566,2021,35,10,1
1566,2021,39,7,2
1566,2021,44,9,2
1566,2021,49,12,2
1566,2021,56,10,1
1566,2021,78,15,1
1566,2021,82,21,1
1566,2021,84,13,2
1566,2021,93,8,1
1566,2021,57,13,1
1566,2021,31,13,1
1566,2021,22,6,2
1566,2021,28,15,2
1566,2021,34,12,2
1566,2021,38,10,2
1566,2021,46,10,1
1566,2021,47,15,2
1566,2021,48,8,1
1566,2021,60,23,1
1566,2021,69,20,1
1566,2021,74,17,1
1566,2021,76,12,2
1566,2021,89,9,1
1566,2021,92,6,2
1566,2021,95,6,2
1566,2021,36,8,1
1566,2021,40,9,1
1566,2021,19,6,2
1566,2021,43,9,2
1566,2021,59,12,1
1576,2021,29,6,1
1576,2021,43,8,1
1576,2021,48,9,2
1576,2021,49,11,2
1576,2021,58,11,2
1576,2021,59,12,1
1576,2021,69,10,1
1576,2021,73,10,1
1576,2021,76,15,2
1576,2021,82,10,2
1576,2021,84,9,1
1576,2021,21,7,2
1576,2021,25,6,1
1576,2021,27,13,1
1576,2021,30,7,1
1576,2021,36,9,2
1576,2021,39,11,2
1576,2021,46,7,2
1576,2021,51,10,2
1576,2021,53,10,1
1576,2021,57,17,2
1576,2021,62,11,1
1576,2021,63,12,1
1576,2021,65,8,2
1576,2021,75,14,1
1576,2021,79,8,2
1576,2021,88,7,2
1576,2021,24,6,1
1576,2021,32,7,1
1576,2021,35,7,2
1576,2021,50,11,2
1576,2021,54,11,1
1576,2021,67,11,1
1576,2021,70,12,2
1576,2021,71,14,2
1576,2021,72,12,2
1576,2021,83,6,1
1576,2021,86,9,2
1576,2021,89,6,1
1576,2021,22,7,2
1576,2021,40,8,2
1576,2021,55,12,1
1576,2021,66,14,2
1576,2021,74,9,1
1576,2021,78,10,2
1576,2021,90,10,1
1576,2021,34,8,1
1576,2021,52,11,2
1576,2021,64,11,2
1576,2021,85,7,2
1576,2021,77,7,2
1576,2021,56,6,1
1576,2021,68,11,1
1576,2021,37,6,1
1576,2021,60,14,1
1576,2021,61,10,1
1576,2021,81,7,2
1576,2021,87,7,2
1576,2021,93,6,2
1822,2021,24,7,2
1822,2021,39,8,1
1822,2021,49,6,2
1822,2021,53,9,2
1822,2021,60,7,2
1822,2021,65,11,2
1822,2021,67,9,1
1822,2021,71,11,1
1822,2021,72,11,2
1822,2021,73,11,1
1822,2021,76,10,2
1822,2021,79,10,1
1822,2021,52,8,1
1822,2021,62,7,1
1822,2021,47,7,1
1822,2021,56,9,1
1822,2021,75,8,1
1822,2021,90,7,2
1822,2021,31,6,1
1822,2021,46,6,2
1822,2021,81,7,2
1822,2021,87,7,1
1822,2021,88,7,2
1822,2021,58,6,1
1822,2021,43,7,1
1822,2021,69,10,1
1832,2021,41,7,1
1832,2021,75,13,1
1832,2021,82,15,1
1832,2021,21,11,1
1832,2021,22,11,2
1832,2021,23,8,2
1832,2021,24,12,2
1832,2021,25,14,2
1832,2021,28,11,2
1832,2021,29,13,2
1832,2021,30,11,2
1832,2021,31,8,1
1832,2021,32,8,1
1832,2021,33,7,1
1832,2021,34,6,1
1832,2021,35,8,2
1832,2021,38,8,2
1832,2021,40,8,1
1832,2021,43,6,2
1832,2021,44,9,2
1832,2021,45,12,1
1832,2021,46,8,2
1832,2021,47,11,2
1832,2021,48,10,2
1832,2021,49,9,2
1832,2021,50,10,1
1832,2021,52,12,2
1832,2021,54,12,1
1832,2021,55,12,2
1832,2021,56,21,2
1832,2021,60,14,1
1832,2021,61,19,2
1832,2021,62,16,1
1832,2021,63,17,1
1832,2021,64,13,1
1832,2021,65,21,1
1832,2021,66,7,1
1832,2021,68,12,2
1832,2021,69,22,2
1832,2021,70,17,2
1832,2021,71,16,2
1832,2021,72,11,1
1832,2021,74,21,1
